[2026-04-03 13:02:36] === AlphaZero Loop Start (iteration=169, games=300, sims=64+0/iter, max=64, min_chain=0) ===
[2026-04-03 13:02:36] --- Iteration 169 (sims=64, global_step=168000) ---
[2026-04-03 13:02:36] Self-play start (m=16, c_visit=50.0)
   Compiling az-framework v0.1.0 (/workspaces/puyopuyo-ai/crates/az-framework)
   Compiling puyo-player v0.1.0 (/workspaces/puyopuyo-ai/crates/puyo/puyo-player)
   Compiling puyo-trainer v0.1.0 (/workspaces/puyopuyo-ai/crates/puyo/puyo-trainer)
    Finished `release` profile [optimized] target(s) in 54.14s
     Running `target/release/self-play --games 300 --simulations 64 --c-puct-init 1.5 --m 16 --c-visit 50.0 --gamma 0.95 --min-chain 0 --output data/alphazero_iter_169.bin`
games=300, simulations=64, c_puct_init=1.5, c_puct_base=19652, m=16, c_visit=50, gamma=0.95
Backend: CudaJit (GPU) — Gumbel MCTS self-play (batched)
Loaded existing model from artifacts/puyo_model
Using 128 game threads, max_batch_size=128
[   1/300] samples:     21 | chain(game/max/avg): 3/3/3.0 | reward(game/avg): 2080/2080 | 0.07 games/s | ETA: 4597s
[ 182/300] samples:   9095 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 9120/8450 | 4.55 games/s | ETA: 26s
[ 183/300] samples:   9145 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 8440/8450 | 4.58 games/s | ETA: 26s
[ 184/300] samples:   9195 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 9320/8455 | 4.60 games/s | ETA: 25s
[ 185/300] samples:   9245 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 9880/8463 | 4.63 games/s | ETA: 25s
[ 186/300] samples:   9295 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 8220/8462 | 4.65 games/s | ETA: 25s
[ 187/300] samples:   9345 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 8900/8464 | 4.67 games/s | ETA: 24s
[ 188/300] samples:   9395 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 6520/8454 | 4.70 games/s | ETA: 24s
[ 189/300] samples:   9445 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 8760/8455 | 4.71 games/s | ETA: 24s
[ 190/300] samples:   9495 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 6480/8445 | 4.73 games/s | ETA: 23s
[ 191/300] samples:   9545 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 8340/8444 | 4.76 games/s | ETA: 23s
[ 192/300] samples:   9595 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 8440/8444 | 4.78 games/s | ETA: 23s
[ 193/300] samples:   9645 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 7440/8439 | 4.80 games/s | ETA: 22s
[ 194/300] samples:   9695 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 6140/8427 | 4.83 games/s | ETA: 22s
[ 195/300] samples:   9745 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 9340/8432 | 4.85 games/s | ETA: 22s
[ 196/300] samples:   9795 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 8470/8432 | 4.87 games/s | ETA: 21s
[ 197/300] samples:   9845 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 9760/8439 | 4.89 games/s | ETA: 21s
[ 198/300] samples:   9895 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 8890/8441 | 4.91 games/s | ETA: 21s
[ 199/300] samples:   9945 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 9190/8445 | 4.93 games/s | ETA: 20s
[ 200/300] samples:   9995 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 8940/8447 | 4.94 games/s | ETA: 20s
[ 201/300] samples:  10014 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 1040/8410 | 4.55 games/s | ETA: 22s
[ 202/300] samples:  10044 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 2640/8382 | 3.96 games/s | ETA: 25s
[ 203/300] samples:  10094 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 7180/8376 | 3.72 games/s | ETA: 26s
[ 204/300] samples:  10140 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 7940/8374 | 3.62 games/s | ETA: 27s
[ 205/300] samples:  10190 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 8540/8375 | 3.54 games/s | ETA: 27s
[ 206/300] samples:  10240 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 7360/8370 | 3.55 games/s | ETA: 26s
[ 207/300] samples:  10290 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 7840/8367 | 3.56 games/s | ETA: 26s
[ 208/300] samples:  10340 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 7680/8364 | 3.55 games/s | ETA: 26s
[ 209/300] samples:  10390 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 8680/8365 | 3.56 games/s | ETA: 26s
[ 210/300] samples:  10440 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 9680/8372 | 3.58 games/s | ETA: 25s
[ 211/300] samples:  10490 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 6220/8361 | 3.59 games/s | ETA: 25s
[ 212/300] samples:  10540 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 9520/8367 | 3.58 games/s | ETA: 25s
[ 213/300] samples:  10590 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 10120/8375 | 3.59 games/s | ETA: 24s
[ 214/300] samples:  10640 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 5360/8361 | 3.59 games/s | ETA: 24s
[ 215/300] samples:  10690 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 8200/8360 | 3.59 games/s | ETA: 24s
[ 216/300] samples:  10740 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 8800/8362 | 3.61 games/s | ETA: 23s
[ 217/300] samples:  10790 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 7340/8358 | 3.58 games/s | ETA: 23s
[ 218/300] samples:  10840 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 6640/8350 | 3.60 games/s | ETA: 23s
[ 219/300] samples:  10890 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 8020/8348 | 3.61 games/s | ETA: 22s
[ 220/300] samples:  10940 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 8920/8351 | 3.59 games/s | ETA: 22s
[ 221/300] samples:  10990 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 5960/8340 | 3.61 games/s | ETA: 22s
[ 222/300] samples:  11040 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 10220/8348 | 3.60 games/s | ETA: 22s
[ 223/300] samples:  11090 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 8420/8349 | 3.62 games/s | ETA: 21s
[ 224/300] samples:  11140 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 8160/8348 | 3.64 games/s | ETA: 21s
[ 225/300] samples:  11190 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 5840/8337 | 3.64 games/s | ETA: 21s
[ 226/300] samples:  11240 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 7670/8334 | 3.64 games/s | ETA: 20s
[ 227/300] samples:  11290 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 8380/8334 | 3.65 games/s | ETA: 20s
[ 228/300] samples:  11340 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 9640/8340 | 3.65 games/s | ETA: 20s
[ 229/300] samples:  11390 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 7240/8335 | 3.66 games/s | ETA: 19s
[ 230/300] samples:  11440 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 7200/8330 | 3.68 games/s | ETA: 19s
[ 231/300] samples:  11490 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 7200/8325 | 3.70 games/s | ETA: 19s
[ 232/300] samples:  11540 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 10080/8333 | 3.68 games/s | ETA: 18s
[ 233/300] samples:  11590 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 9980/8340 | 3.70 games/s | ETA: 18s
[ 234/300] samples:  11640 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 7400/8336 | 3.71 games/s | ETA: 18s
[ 235/300] samples:  11690 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 6700/8329 | 3.67 games/s | ETA: 18s
[ 236/300] samples:  11740 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 9850/8335 | 3.67 games/s | ETA: 17s
[ 237/300] samples:  11790 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 9220/8339 | 3.69 games/s | ETA: 17s
[ 238/300] samples:  11840 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 9520/8344 | 3.70 games/s | ETA: 17s
[ 239/300] samples:  11890 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 9200/8347 | 3.72 games/s | ETA: 16s
[ 240/300] samples:  11940 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 8640/8349 | 3.73 games/s | ETA: 16s
[ 241/300] samples:  11990 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 6760/8342 | 3.75 games/s | ETA: 16s
[ 242/300] samples:  12040 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 11460/8355 | 3.76 games/s | ETA: 15s
[ 243/300] samples:  12090 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 8220/8354 | 3.78 games/s | ETA: 15s
[ 244/300] samples:  12140 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 8780/8356 | 3.79 games/s | ETA: 15s
[ 245/300] samples:  12190 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 8660/8357 | 3.80 games/s | ETA: 14s
[ 246/300] samples:  12240 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 9260/8361 | 3.81 games/s | ETA: 14s
[ 247/300] samples:  12290 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 6820/8355 | 3.83 games/s | ETA: 14s
[ 248/300] samples:  12340 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 7260/8350 | 3.84 games/s | ETA: 14s
[ 249/300] samples:  12390 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 9160/8354 | 3.86 games/s | ETA: 13s
[ 250/300] samples:  12440 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 9200/8357 | 3.87 games/s | ETA: 13s
[ 251/300] samples:  12490 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 7540/8354 | 3.89 games/s | ETA: 13s
[ 252/300] samples:  12540 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 7480/8350 | 3.90 games/s | ETA: 12s
[ 253/300] samples:  12590 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 9390/8354 | 3.90 games/s | ETA: 12s
[ 254/300] samples:  12640 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 5960/8345 | 3.92 games/s | ETA: 12s
[ 255/300] samples:  12690 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 5920/8336 | 3.93 games/s | ETA: 11s
[ 256/300] samples:  12740 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 5400/8324 | 3.95 games/s | ETA: 11s
[ 257/300] samples:  12790 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 6200/8316 | 3.96 games/s | ETA: 11s
[ 258/300] samples:  12840 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 7480/8313 | 3.97 games/s | ETA: 11s
[ 259/300] samples:  12890 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 6980/8307 | 3.99 games/s | ETA: 10s
[ 260/300] samples:  12940 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 8120/8307 | 4.00 games/s | ETA: 10s
[ 261/300] samples:  12990 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 8580/8308 | 4.02 games/s | ETA: 10s
[ 262/300] samples:  13040 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 8220/8307 | 4.03 games/s | ETA: 9s
[ 263/300] samples:  13090 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 8630/8309 | 4.05 games/s | ETA: 9s
[ 264/300] samples:  13140 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 6660/8302 | 4.06 games/s | ETA: 9s
[ 265/300] samples:  13190 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 7080/8298 | 4.07 games/s | ETA: 9s
[ 266/300] samples:  13240 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 8590/8299 | 4.09 games/s | ETA: 8s
[ 267/300] samples:  13290 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 8510/8300 | 4.07 games/s | ETA: 8s
[ 268/300] samples:  13340 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 6550/8293 | 4.08 games/s | ETA: 8s
[ 269/300] samples:  13390 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 7640/8291 | 4.09 games/s | ETA: 8s
[ 270/300] samples:  13440 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 9770/8296 | 4.11 games/s | ETA: 7s
[ 271/300] samples:  13490 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 7640/8294 | 4.12 games/s | ETA: 7s
[ 272/300] samples:  13540 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 8820/8296 | 4.13 games/s | ETA: 7s
[ 273/300] samples:  13590 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 9920/8302 | 4.15 games/s | ETA: 7s
[ 274/300] samples:  13640 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 7480/8299 | 4.16 games/s | ETA: 6s
[ 275/300] samples:  13690 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 8920/8301 | 4.18 games/s | ETA: 6s
[ 276/300] samples:  13740 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 9480/8305 | 4.19 games/s | ETA: 6s
[ 277/300] samples:  13790 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 10190/8312 | 4.20 games/s | ETA: 5s
[ 278/300] samples:  13840 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 7440/8309 | 4.22 games/s | ETA: 5s
[ 279/300] samples:  13890 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 10180/8316 | 4.23 games/s | ETA: 5s
[ 280/300] samples:  13940 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 8220/8315 | 4.25 games/s | ETA: 5s
[ 281/300] samples:  13990 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 9880/8321 | 4.26 games/s | ETA: 4s
[ 282/300] samples:  14040 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 6420/8314 | 4.27 games/s | ETA: 4s
[ 283/300] samples:  14090 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 9500/8318 | 4.27 games/s | ETA: 4s
[ 284/300] samples:  14140 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 9740/8323 | 4.28 games/s | ETA: 4s
[ 285/300] samples:  14190 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 7360/8320 | 4.29 games/s | ETA: 3s
[ 286/300] samples:  14240 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 9080/8323 | 4.30 games/s | ETA: 3s
[ 287/300] samples:  14290 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 10670/8331 | 4.32 games/s | ETA: 3s
[ 288/300] samples:  14340 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 5740/8322 | 4.33 games/s | ETA: 3s
[ 289/300] samples:  14390 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 9040/8324 | 4.35 games/s | ETA: 3s
[ 290/300] samples:  14440 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 7340/8321 | 4.36 games/s | ETA: 2s
[ 291/300] samples:  14490 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 7330/8317 | 4.33 games/s | ETA: 2s
[ 292/300] samples:  14540 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 8940/8320 | 4.33 games/s | ETA: 2s
[ 293/300] samples:  14590 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 8400/8320 | 4.34 games/s | ETA: 2s
[ 294/300] samples:  14640 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 7540/8317 | 4.35 games/s | ETA: 1s
[ 295/300] samples:  14690 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 8120/8316 | 4.35 games/s | ETA: 1s
[ 296/300] samples:  14740 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 10950/8325 | 4.36 games/s | ETA: 1s
[ 297/300] samples:  14790 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 7840/8324 | 4.38 games/s | ETA: 1s
[ 298/300] samples:  14840 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 9900/8329 | 4.39 games/s | ETA: 0s
[ 299/300] samples:  14890 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 7760/8327 | 4.39 games/s | ETA: 0s
[ 300/300] samples:  14940 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 8700/8328 | 4.40 games/s | ETA: 0s
Self-play complete: 300 games, 14940 samples, max chain: 5
Saved to data/alphazero_iter_171.bin
[2026-04-03 13:15:23] Removing old data: data/alphazero_iter_141.bin
[2026-04-03 13:15:24] Train start (AlphaZero mode, replay buffer, global_step=170000)
    Finished `release` profile [optimized] target(s) in 3.78s
     Running `target/release/train --alphazero --data-dir data --global-step 170000`
Backend: CUDA (GPU)
Mode: AlphaZero (Policy CE + Value MSE)
Loading AlphaZero datasets from data...
Found 30 data files
  Loaded 14800 samples from data/alphazero_iter_142.bin
  Loaded 14638 samples from data/alphazero_iter_143.bin
  Loaded 14842 samples from data/alphazero_iter_144.bin
  Loaded 14801 samples from data/alphazero_iter_145.bin
  Loaded 14754 samples from data/alphazero_iter_146.bin
  Loaded 14804 samples from data/alphazero_iter_147.bin
  Loaded 14933 samples from data/alphazero_iter_148.bin
  Loaded 14658 samples from data/alphazero_iter_149.bin
  Loaded 14608 samples from data/alphazero_iter_150.bin
  Loaded 14842 samples from data/alphazero_iter_151.bin
  Loaded 14724 samples from data/alphazero_iter_152.bin
  Loaded 14891 samples from data/alphazero_iter_153.bin
  Loaded 14732 samples from data/alphazero_iter_154.bin
  Loaded 14704 samples from data/alphazero_iter_155.bin
  Loaded 14799 samples from data/alphazero_iter_156.bin
  Loaded 14861 samples from data/alphazero_iter_157.bin
  Loaded 14843 samples from data/alphazero_iter_158.bin
  Loaded 14662 samples from data/alphazero_iter_159.bin
  Loaded 14923 samples from data/alphazero_iter_160.bin
  Loaded 14858 samples from data/alphazero_iter_161.bin
  Loaded 14875 samples from data/alphazero_iter_162.bin
  Loaded 14830 samples from data/alphazero_iter_163.bin
  Loaded 14717 samples from data/alphazero_iter_164.bin
  Loaded 14778 samples from data/alphazero_iter_165.bin
  Loaded 14761 samples from data/alphazero_iter_166.bin
  Loaded 14779 samples from data/alphazero_iter_167.bin
  Loaded 14673 samples from data/alphazero_iter_168.bin
  Loaded 14809 samples from data/alphazero_iter_169.bin
  Loaded 14817 samples from data/alphazero_iter_170.bin
  Loaded 14940 samples from data/alphazero_iter_171.bin
Loaded 443656 total samples
Train: 443656 samples (color augmented on-the-fly, no val split)
Loaded existing model from artifacts/puyo_model
AlphaZero training: 1000 steps, global_step=170000, LR 2e-4 (end ~2e-4)
  step 50/1000 p_loss=1.3497 v_loss=0.2517 lr=0.000200  step 100/1000 p_loss=1.3473 v_loss=0.2493 lr=0.000200  step 150/1000 p_loss=1.3484 v_loss=0.2487 lr=0.000200  step 200/1000 p_loss=1.3489 v_loss=0.2490 lr=0.000200  step 250/1000 p_loss=1.3485 v_loss=0.2492 lr=0.000200  step 300/1000 p_loss=1.3489 v_loss=0.2488 lr=0.000200  step 350/1000 p_loss=1.3489 v_loss=0.2480 lr=0.000200  step 400/1000 p_loss=1.3482 v_loss=0.2482 lr=0.000200  step 450/1000 p_loss=1.3483 v_loss=0.2487 lr=0.000200  step 500/1000 p_loss=1.3484 v_loss=0.2484 lr=0.000200  step 550/1000 p_loss=1.3482 v_loss=0.2478 lr=0.000200  step 600/1000 p_loss=1.3482 v_loss=0.2480 lr=0.000200  step 650/1000 p_loss=1.3481 v_loss=0.2477 lr=0.000200  step 700/1000 p_loss=1.3480 v_loss=0.2474 lr=0.000200  step 750/1000 p_loss=1.3480 v_loss=0.2471 lr=0.000200  step 800/1000 p_loss=1.3480 v_loss=0.2472 lr=0.000200  step 850/1000 p_loss=1.3479 v_loss=0.2472 lr=0.000200  step 900/1000 p_loss=1.3478 v_loss=0.2469 lr=0.000200  step 950/1000 p_loss=1.3478 v_loss=0.2470 lr=0.000200  step 1000/1000 p_loss=1.3476 v_loss=0.2474 lr=0.000200
AlphaZero training complete. final train_loss(p=1.347561, v=0.247361) global_step=171000
[2026-04-03 13:18:47] === Iteration 171 complete ===
[2026-04-03 13:18:47] --- Iteration 172 (sims=64, global_step=171000) ---
[2026-04-03 13:18:47] Self-play start (m=16, c_visit=50.0)
    Finished `release` profile [optimized] target(s) in 5.78s
     Running `target/release/self-play --games 300 --simulations 64 --c-puct-init 1.5 --m 16 --c-visit 50.0 --gamma 0.95 --min-chain 0 --output data/alphazero_iter_172.bin`
games=300, simulations=64, c_puct_init=1.5, c_puct_base=19652, m=16, c_visit=50, gamma=0.95
Backend: CudaJit (GPU) — Gumbel MCTS self-play (batched)
Loaded existing model from artifacts/puyo_model
Using 128 game threads, max_batch_size=128
[   1/300] samples:     22 | chain(game/max/avg): 3/3/3.0 | reward(game/avg): 1680/1680 | 0.09 games/s | ETA: 3491s
[   2/300] samples:     72 | chain(game/max/avg): 4/4/3.5 | reward(game/avg): 11100/6390 | 0.09 games/s | ETA: 3249s
[   3/300] samples:    122 | chain(game/max/avg): 3/4/3.3 | reward(game/avg): 7040/6607 | 0.14 games/s | ETA: 2163s
[   4/300] samples:    172 | chain(game/max/avg): 4/4/3.5 | reward(game/avg): 6780/6650 | 0.18 games/s | ETA: 1644s
[   5/300] samples:    222 | chain(game/max/avg): 5/5/3.8 | reward(game/avg): 12740/7868 | 0.22 games/s | ETA: 1318s
[   6/300] samples:    272 | chain(game/max/avg): 4/5/3.8 | reward(game/avg): 9400/8123 | 0.27 games/s | ETA: 1101s
[   7/300] samples:    322 | chain(game/max/avg): 3/5/3.7 | reward(game/avg): 10160/8414 | 0.31 games/s | ETA: 943s
[   8/300] samples:    372 | chain(game/max/avg): 4/5/3.8 | reward(game/avg): 9120/8502 | 0.35 games/s | ETA: 823s
[   9/300] samples:    422 | chain(game/max/avg): 4/5/3.8 | reward(game/avg): 9880/8656 | 0.40 games/s | ETA: 732s
[  10/300] samples:    472 | chain(game/max/avg): 4/5/3.8 | reward(game/avg): 8100/8600 | 0.44 games/s | ETA: 657s
[  11/300] samples:    522 | chain(game/max/avg): 4/5/3.8 | reward(game/avg): 7020/8456 | 0.48 games/s | ETA: 598s
[  12/300] samples:    572 | chain(game/max/avg): 3/5/3.8 | reward(game/avg): 6000/8252 | 0.53 games/s | ETA: 546s
[  13/300] samples:    622 | chain(game/max/avg): 4/5/3.8 | reward(game/avg): 8540/8274 | 0.57 games/s | ETA: 505s
[  14/300] samples:    672 | chain(game/max/avg): 4/5/3.8 | reward(game/avg): 8480/8289 | 0.61 games/s | ETA: 468s
[  15/300] samples:    722 | chain(game/max/avg): 4/5/3.8 | reward(game/avg): 8820/8324 | 0.65 games/s | ETA: 437s
[  16/300] samples:    772 | chain(game/max/avg): 3/5/3.8 | reward(game/avg): 8080/8309 | 0.70 games/s | ETA: 409s
[  17/300] samples:    822 | chain(game/max/avg): 3/5/3.7 | reward(game/avg): 5560/8147 | 0.74 games/s | ETA: 384s
[  18/300] samples:    872 | chain(game/max/avg): 4/5/3.7 | reward(game/avg): 8560/8170 | 0.78 games/s | ETA: 361s
[  19/300] samples:    922 | chain(game/max/avg): 5/5/3.8 | reward(game/avg): 11000/8319 | 0.82 games/s | ETA: 341s
[  20/300] samples:    972 | chain(game/max/avg): 4/5/3.8 | reward(game/avg): 8920/8349 | 0.87 games/s | ETA: 323s
[  21/300] samples:   1022 | chain(game/max/avg): 3/5/3.8 | reward(game/avg): 5880/8231 | 0.91 games/s | ETA: 307s
[  22/300] samples:   1072 | chain(game/max/avg): 3/5/3.7 | reward(game/avg): 6380/8147 | 0.95 games/s | ETA: 293s
[  23/300] samples:   1122 | chain(game/max/avg): 3/5/3.7 | reward(game/avg): 7760/8130 | 0.99 games/s | ETA: 280s
[  24/300] samples:   1172 | chain(game/max/avg): 3/5/3.7 | reward(game/avg): 7740/8114 | 1.03 games/s | ETA: 267s
[  25/300] samples:   1222 | chain(game/max/avg): 4/5/3.7 | reward(game/avg): 9840/8183 | 1.08 games/s | ETA: 256s
[  26/300] samples:   1272 | chain(game/max/avg): 4/5/3.7 | reward(game/avg): 8600/8199 | 1.12 games/s | ETA: 245s
[  27/300] samples:   1322 | chain(game/max/avg): 4/5/3.7 | reward(game/avg): 9540/8249 | 1.16 games/s | ETA: 235s
[  28/300] samples:   1372 | chain(game/max/avg): 3/5/3.7 | reward(game/avg): 8220/8248 | 1.20 games/s | ETA: 226s
[  29/300] samples:   1422 | chain(game/max/avg): 3/5/3.7 | reward(game/avg): 6980/8204 | 1.24 games/s | ETA: 218s
[  30/300] samples:   1472 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 7400/8177 | 1.29 games/s | ETA: 210s
[  31/300] samples:   1522 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 8180/8177 | 1.33 games/s | ETA: 203s
[  32/300] samples:   1572 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 9280/8212 | 1.37 games/s | ETA: 196s
[  33/300] samples:   1622 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 6260/8153 | 1.41 games/s | ETA: 190s
[  34/300] samples:   1672 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 10260/8215 | 1.45 games/s | ETA: 184s
[  35/300] samples:   1722 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 7820/8203 | 1.49 games/s | ETA: 178s
[  36/300] samples:   1772 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 8200/8203 | 1.53 games/s | ETA: 172s
[  37/300] samples:   1822 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 10740/8272 | 1.57 games/s | ETA: 167s
[  38/300] samples:   1872 | chain(game/max/avg): 4/5/3.7 | reward(game/avg): 8140/8268 | 1.61 games/s | ETA: 163s
[  39/300] samples:   1922 | chain(game/max/avg): 4/5/3.7 | reward(game/avg): 9500/8300 | 1.65 games/s | ETA: 158s
[  40/300] samples:   1972 | chain(game/max/avg): 4/5/3.7 | reward(game/avg): 9700/8335 | 1.69 games/s | ETA: 153s
[  41/300] samples:   2022 | chain(game/max/avg): 3/5/3.7 | reward(game/avg): 6200/8283 | 1.74 games/s | ETA: 149s
[  42/300] samples:   2072 | chain(game/max/avg): 4/5/3.7 | reward(game/avg): 8720/8293 | 1.78 games/s | ETA: 145s
[  43/300] samples:   2122 | chain(game/max/avg): 4/5/3.7 | reward(game/avg): 8300/8293 | 1.82 games/s | ETA: 141s
[  44/300] samples:   2172 | chain(game/max/avg): 3/5/3.7 | reward(game/avg): 7510/8276 | 1.86 games/s | ETA: 138s
[  45/300] samples:   2222 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 7180/8251 | 1.90 games/s | ETA: 134s
[  46/300] samples:   2272 | chain(game/max/avg): 4/5/3.7 | reward(game/avg): 7140/8227 | 1.94 games/s | ETA: 131s
